Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
1-Apr,Saturday,46.0,37.0,0.00,606,1446,1915,1430,5397
2-Apr,Sunday,62.1,41.0,0.00,2021,3943,4207,2862,13033
3-Apr,Monday,63.0,50.0,0.03,2470,4988,5178,3689,16325
4-Apr,Tuesday,51.1,46.0,1.18,723,1913,2279,1666,6581
5-Apr,Wednesday,63.0,46.0,0.00,2807,5276,5711,4197,17991
6-Apr,Thursday,48.9,41.0,0.73,461,1324,1739,1372,4896
7-Apr,Friday,48.0,43.0,T,1222,2955,3399,2765,10341
8-Apr,Saturday,55.9,39.9,0.00,1674,3163,4082,2691,11610
9-Apr,Sunday,66.0,45.0,0.00,2375,4377,4886,3261,14899
10-Apr,Monday,73.9,55.0,0.00,3324,6359,6881,4731,21295
11-Apr,Tuesday,80.1,62.1,0.00,3887,7247,8079,5501,24714
12-Apr,Wednesday,73.9,57.9,0.02,2565,5633,6620,4537,19355
13-Apr,Thursday,64.0,48.9,0.00,3353,6052,6775,4700,20880
14-Apr,Friday,64.9,48.9,0.00,2942,5054,5877,4142,18015
15-Apr,Saturday,64.9,52.0,0.00,2253,3853,4965,3291,14362
16-Apr,Sunday,84.9,62.1,T,2877,4585,5259,3687,16408
17-Apr,Monday,73.9,64.0,T,3152,6352,6924,4658,21086
18-Apr,Tuesday,66.0,50.0,0.00,3415,6691,7341,5012,22459
19-Apr,Wednesday,52.0,45.0,T,1965,4632,5234,3996,15827
20-Apr,Thursday,64.9,50.0,0.17,1567,3365,4302,3056,12290
21-Apr,Friday,53.1,48.0,0.29,1426,3142,3674,2672,10914
22-Apr,Saturday,55.9,52.0,0.11,1318,2297,2963,2366,8944
23-Apr,Sunday,64.9,46.9,0.00,2520,4681,5105,3434,15740
24-Apr,Monday,60.1,50.0,T,2544,5366,5762,4183,17855
25-Apr,Tuesday,54.0,50.0,0.91,611,1402,1902,1578,5493
26-Apr,Wednesday,59.0,54.0,0.34,1247,2774,3429,2369,9819
27-Apr,Thursday,68.0,59.0,0.00,2959,5311,6026,4285,18581
28-Apr,Friday,82.9,57.9,0.00,3679,6774,7196,5138,22787
29-Apr,Saturday,84.0,64.0,0.06,3315,5605,6045,4078,19043
30-Apr,Sunday,64.0,54.0,0.00,2225,4057,4513,3137,13932
1-May,Monday,72.0,50.0,0.00,3084,6506,6793,4820,21203
2-May,Tuesday,73.9,66.9,0.00,3423,7035,7789,5449,23696
3-May,Wednesday,64.9,57.9,0.00,3342,6984,7445,4804,22575
4-May,Thursday,63.0,50.0,0.00,3019,6525,6922,5144,21610
5-May,Friday,59.0,52.0,3.02,513,1471,1951,1421,5356
6-May,Saturday,64.9,57.0,0.18,1892,3815,5502,3965,15174
7-May,Sunday,54.0,48.9,0.01,3539,3547,4941,3851,15878
8-May,Monday,57.0,45.0,0.00,2886,5812,6249,4432,19379
9-May,Tuesday,61.0,48.0,0.00,2718,6455,6910,5000,21083
10-May,Wednesday,70.0,51.1,0.00,2810,6396,7075,4980,21261
11-May,Thursday,61.0,51.8,0.00,2657,6179,6750,5139,20725
12-May,Friday,62.1,51.1,0.00,2640,5367,6325,4692,19024
13-May,Saturday,51.1,45.0,1.31,151,484,874,865,2374
14-May,Sunday,64.9,46.0,0.02,1452,2704,3320,2389,9865
15-May,Monday,66.9,55.9,0.00,2685,5865,5981,4550,19081
16-May,Tuesday,78.1,57.9,0.00,3666,7847,8420,6209,26142
17-May,Wednesday,90.0,66.0,0.00,3535,7888,8540,6121,26084
18-May,Thursday,91.9,75.0,0.00,3190,6886,7645,5753,23474
19-May,Friday,90.0,75.9,0.00,2952,6432,6859,5272,21515
20-May,Saturday,64.0,55.9,0.01,2161,3896,5198,3910,15165
21-May,Sunday,66.9,55.0,0.00,2612,4656,5634,3782,16684
22-May,Monday,61.0,54.0,0.59,768,1633,2116,1609,6126
23-May,Tuesday,68.0,57.9,0.00,3174,6715,7011,4899,21799
24-May,Wednesday,66.9,57.0,0.04,2969,6005,6872,4344,20190
25-May,Thursday,57.9,55.9,0.58,488,1196,1789,1316,4789
26-May,Friday,73.0,55.9,0.10,2590,4563,5344,3642,16139
27-May,Saturday,71.1,61.0,0.00,2609,4013,6105,3703,16430
28-May,Sunday,71.1,59.0,0.00,2640,4048,5456,3549,15693
29-May,Monday,57.9,55.9,0.13,836,1730,2738,1704,7008
30-May,Tuesday,59.0,55.9,0.06,2301,5366,5938,4431,18036
31-May,Wednesday,75.0,57.9,0.03,2689,5717,6523,4575,19504
1-Jun,Thursday,78.1,62.1,0.00,3468,7328,8461,6184,25441
2-Jun,Friday,73.9,60.1,0.01,3271,7007,7968,5293,23539
3-Jun,Saturday,72.0,55.0,0.01,2589,4510,6210,4084,17393
4-Jun,Sunday,68.0,60.1,0.09,1805,3127,4023,3023,11978
5-Jun,Monday,66.9,60.1,0.02,2171,4552,5276,3359,15358
6-Jun,Tuesday,55.9,53.1,0.06,1193,3021,3807,2572,10593
7-Jun,Wednesday,66.9,54.0,0.00,3211,7180,7632,5072,23095
8-Jun,Thursday,68.0,59.0,0.00,3253,7083,7778,5288,23402
9-Jun,Friday,80.1,59.0,0.00,3401,6859,7744,5155,23159
10-Jun,Saturday,84.0,68.0,0.00,3066,5193,6391,4425,19075
11-Jun,Sunday,90.0,73.0,0.00,2465,4388,5153,3178,15184
12-Jun,Monday,91.9,77.0,0.00,2854,6265,7049,5032,21200
13-Jun,Tuesday,93.9,78.1,T,2882,6141,7155,5399,21577
14-Jun,Wednesday,84.0,69.1,0.29,2596,5630,6619,5152,19997
15-Jun,Thursday,75.0,66.0,0.00,3510,7854,8652,6344,26360
16-Jun,Friday,68.0,66.0,0.00,2054,4857,5783,4474,17168
17-Jun,Saturday,73.0,66.9,1.39,1399,2633,3439,2977,10448
18-Jun,Sunday,84.0,72.0,T,2199,4014,4901,3396,14510
19-Jun,Monday,87.1,70.0,1.35,1648,3553,4334,3552,13087
20-Jun,Tuesday,82.0,72.0,0.03,3407,7473,7975,6091,24946
21-Jun,Wednesday,82.0,72.0,0.00,3304,7416,8754,6159,25633
22-Jun,Thursday,82.0,70.0,0.00,3368,7624,8307,6289,25588
23-Jun,Friday,82.9,75.9,0.04,2283,4683,5611,4330,16907
24-Jun,Saturday,82.9,71.1,1.29,2307,3933,5214,3396,14850
25-Jun,Sunday,82.0,69.1,0.00,2625,4882,5727,4197,17431
26-Jun,Monday,78.1,66.0,0.00,3386,7217,7974,5845,24422
27-Jun,Tuesday,75.9,61.0,0.18,3182,7317,6501,5580,22580
28-Jun,Wednesday,78.1,62.1,0.00,3766,8239,8873,5834,26712
29-Jun,Thursday,81.0,68.0,0.00,3356,7544,8276,5662,24838
30-Jun,Friday,88.0,73.9,T,2687,5890,7013,4754,20344
1-Jul,Saturday,84.9,72.0,0.23,1848,2958,3845,3216,11867
2-Jul,Sunday,87.1,73.0,0.00,2467,3776,4173,3579,13995
3-Jul,Monday,87.1,71.1,0.45,2714,4199,4924,4230,16067
4-Jul,Tuesday,82.9,70.0,0.00,2296,4084,3684,3861,13925
5-Jul,Wednesday,84.9,71.1,0.00,3170,6770,7308,5862,23110
6-Jul,Thursday,75.0,71.1,T,3065,6243,7302,5251,21861
7-Jul,Friday,79.0,68.0,1.78,1513,3567,4421,3304,12805
8-Jul,Saturday,82.9,70.0,0.00,2718,4807,5781,3952,17258
9-Jul,Sunday,81.0,69.1,0.00,3048,5446,5782,4044,18320
10-Jul,Monday,82.9,71.1,0.00,3506,7503,8106,5712,24827
11-Jul,Tuesday,84.0,75.0,0.00,2929,6436,7249,5129,21743
12-Jul,Wednesday,87.1,77.0,0.00,2860,6283,7102,4929,21174
13-Jul,Thursday,89.1,77.0,0.00,2563,5150,6116,4461,18290
14-Jul,Friday,69.1,64.9,0.35,907,2182,2974,2147,8210
15-Jul,Saturday,82.9,68.0,0.00,2853,4857,5631,3918,17259
16-Jul,Sunday,84.9,70.0,0.00,2917,5190,5370,4062,17539
17-Jul,Monday,84.9,73.9,0.00,3264,7316,7789,5468,23837
18-Jul,Tuesday,87.1,75.9,0.00,3507,7732,8268,5531,25038
19-Jul,Wednesday,91.0,77.0,0.00,3114,6710,7776,5247,22847
20-Jul,Thursday,93.0,78.1,0.01,2840,5980,6781,4804,20405
21-Jul,Friday,91.0,77.0,0.00,2751,5469,6548,5005,19773
22-Jul,Saturday,91.0,78.1,0.57,2301,3745,4535,3841,14422
23-Jul,Sunday,78.1,73.0,0.06,2321,3756,4096,3124,13297
24-Jul,Monday,69.1,63.0,0.74,1576,3584,3867,2835,11862
25-Jul,Tuesday,71.1,64.0,0.00,3191,7201,7496,5698,23586
26-Jul,Wednesday,75.9,66.0,0.00,3821,7987,8605,6556,26969
27-Jul,Thursday,77.0,66.9,T,3287,6624,7221,5997,23129
28-Jul,Friday,84.9,73.0,0.00,3123,6135,6987,5496,21741
29-Jul,Saturday,75.9,68.0,0.00,2074,3787,5242,3711,14814
30-Jul,Sunday,81.0,64.9,0.00,3331,5282,5759,4324,18696
31-Jul,Monday,88.0,66.9,0.00,3560,7404,7546,5774,24284
1-Aug,Tuesday,91.0,72.0,0.00,3492,7290,7686,6050,24518
2-Aug,Wednesday,86.0,69.1,0.09,2637,5966,6407,5288,20298
3-Aug,Thursday,86.0,70.0,0.00,3346,6728,7297,5835,23206
4-Aug,Friday,82.9,70.0,0.15,2400,4447,5158,4427,16432
5-Aug,Saturday,77.0,70.0,0.30,3409,4520,5169,3907,17005
6-Aug,Sunday,75.9,64.0,0.00,3130,5088,5634,4207,18059
7-Aug,Monday,71.1,64.9,0.76,804,1809,2669,2441,7723
8-Aug,Tuesday,77.0,66.0,0.00,3598,7176,7571,5932,24277
9-Aug,Wednesday,82.9,66.0,0.00,3893,7791,8589,6582,26855
10-Aug,Thursday,82.9,69.1,0.00,3423,7378,7850,6290,24941
11-Aug,Friday,81.0,70.0,T,3148,6295,7068,5669,22180
12-Aug,Saturday,75.9,64.9,0.11,4146,4593,5443,4548,18730
13-Aug,Sunday,82.0,71.1,0.00,3274,5086,5419,4430,18209
14-Aug,Monday,80.1,70.0,0.00,3291,6717,7301,5850,23159
15-Aug,Tuesday,73.0,69.1,0.45,2149,4987,5976,4711,17823
16-Aug,Wednesday,84.9,70.0,0.00,3685,7191,7852,6231,24959
17-Aug,Thursday,82.0,71.1,0.00,3637,6972,7871,6129,24609
18-Aug,Friday,81.0,73.0,0.88,1064,2309,3113,2819,9305
19-Aug,Saturday,84.9,73.0,0.00,4693,4871,5612,4958,20134
20-Aug,Sunday,81.0,70.0,0.00,2822,4582,5182,4188,16774
21-Aug,Monday,84.9,73.0,0.00,3088,6400,7141,5666,22295
22-Aug,Tuesday,88.0,75.0,0.30,2983,6151,7146,5795,22075
23-Aug,Wednesday,80.1,71.1,T,2994,6586,7297,6122,22999
24-Aug,Thursday,79.0,66.0,0.00,3688,7061,7849,6289,24887
25-Aug,Friday,78.1,64.0,0.00,3144,6296,7318,5786,22544
26-Aug,Saturday,77.0,62.1,0.00,2710,4592,5537,4670,17509
27-Aug,Sunday,77.0,63.0,0.00,2676,4785,5145,4159,16765
28-Aug,Monday,75.0,63.0,0.00,3332,6908,7343,5917,23500
29-Aug,Tuesday,68.0,62.1,0.10,1472,3206,3776,3563,12017
30-Aug,Wednesday,75.9,61.0,0.01,3468,7159,7656,5858,24141
31-Aug,Thursday,81.0,64.0,0.00,3279,6705,7536,5934,23454
1-Sep,Friday,70.0,55.0,0.00,2945,5611,6576,5398,20530
2-Sep,Saturday,66.9,54.0,0.53,1876,3121,3625,3325,11947
3-Sep,Sunday,69.1,60.1,0.74,1004,1867,2479,1711,7061
4-Sep,Monday,79.0,62.1,0.00,2866,4766,4882,4346,16860
5-Sep,Tuesday,84.0,70.0,T,3244,7244,7537,5906,23931
6-Sep,Wednesday,70.0,62.1,0.42,1232,2672,3310,2951,10165
7-Sep,Thursday,71.1,59.0,0.01,3249,7059,7717,5923,23948
8-Sep,Friday,70.0,59.0,0.00,3234,6850,7739,5836,23659
9-Sep,Saturday,69.1,55.0,0.00,2609,5035,5849,4471,17964
10-Sep,Sunday,72.0,57.0,0.00,4960,5673,5773,4381,20787
11-Sep,Monday,75.9,55.0,0.00,3657,7783,8254,5986,25680
12-Sep,Tuesday,78.1,61.0,0.00,3497,7983,8756,6386,26622
13-Sep,Wednesday,82.0,64.9,0.06,2994,7461,8095,6213,24763
14-Sep,Thursday,81.0,70.0,0.02,3013,6703,7629,5697,23042
15-Sep,Friday,81.0,66.9,0.00,3344,6998,7749,5853,23944
16-Sep,Saturday,82.0,70.0,0.00,2560,4860,5568,4532,17520
17-Sep,Sunday,80.1,70.0,0.00,2676,4935,5599,4032,17242
18-Sep,Monday,73.0,69.1,0.00,2673,6338,6708,4864,20583
19-Sep,Tuesday,78.1,69.1,0.22,2012,4726,5729,4171,16638
20-Sep,Wednesday,78.1,71.1,0.00,3296,6826,7518,5570,23210
21-Sep,Thursday,80.1,71.1,0.00,3317,6663,8151,5792,23923
22-Sep,Friday,82.0,66.0,0.00,3297,6272,7570,5547,22686
23-Sep,Saturday,86.0,68.0,0.00,2810,4940,6167,4635,18552
24-Sep,Sunday,90.0,69.1,0.00,2543,4500,5083,3977,16103
25-Sep,Monday,87.1,72.0,0.00,3276,7227,7708,5941,24152
26-Sep,Tuesday,82.0,69.1,0.00,3157,7676,8150,6179,25162
27-Sep,Wednesday,84.9,71.1,0.00,3216,7313,7983,6309,24821
28-Sep,Thursday,78.1,66.0,0.00,3421,7301,8118,6277,25117
29-Sep,Friday,66.9,55.0,0.00,2988,6221,7659,5677,22545
30-Sep,Saturday,64.0,55.9,0.00,1903,3507,4749,3729,13888
1-Oct,Sunday,66.9,50.0,0.00,2297,4540,5046,4092,15975
2-Oct,Monday,72.0,52.0,0.00,3387,7059,7616,5722,23784
3-Oct,Tuesday,70.0,57.0,0.00,3386,7370,8161,6363,25280
4-Oct,Wednesday,75.0,55.9,0.00,3412,7691,8136,6238,25477
5-Oct,Thursday,82.0,64.9,0.00,3312,7034,7598,5998,23942
6-Oct,Friday,81.0,69.1,0.00,2982,6204,7336,5675,22197
7-Oct,Saturday,80.1,66.0,0.00,2750,5019,5873,4576,18218
8-Oct,Sunday,77.0,72.0,0.22,1235,2450,3162,2327,9174
9-Oct,Monday,75.9,72.0,0.26,898,2321,3079,2642,8940
10-Oct,Tuesday,80.1,66.0,0.00,3922,7499,8208,6421,26050
11-Oct,Wednesday,75.0,64.9,0.06,2721,5694,6683,5559,20657
12-Oct,Thursday,63.0,55.9,0.07,2411,5083,6043,4603,18140
13-Oct,Friday,64.9,52.0,0.00,2839,5863,6612,5240,20554
14-Oct,Saturday,71.1,62.1,0.08,2021,4079,4878,3734,14712
15-Oct,Sunday,72.0,66.0,T,2169,4285,4943,3793,15190
16-Oct,Monday,60.1,52.0,0.01,2751,5752,6391,5045,19939
17-Oct,Tuesday,57.9,43.0,0.00,2869,6155,6612,5249,20885
18-Oct,Wednesday,71.1,50.0,0.00,3264,6608,7398,5753,23023
19-Oct,Thursday,70.0,55.9,0.00,3265,6860,7742,6167,24034
20-Oct,Friday,73.0,57.9,0.00,3169,6286,7215,5814,22484
21-Oct,Saturday,78.1,57.0,0.00,2538,4834,6167,4940,18479
22-Oct,Sunday,75.9,57.0,0.00,2744,4967,5328,4474,17513
23-Oct,Monday,73.9,64.0,0.00,3189,6671,7096,5975,22931
24-Oct,Tuesday,73.0,66.9,0.20,954,2614,3251,2682,9501
25-Oct,Wednesday,64.9,57.9,0.00,3367,6720,7294,5856,23237
26-Oct,Thursday,57.0,53.1,0.00,2565,5217,5958,5011,18751
27-Oct,Friday,62.1,48.0,0.00,3150,5610,6450,5181,20391
28-Oct,Saturday,68.0,55.9,0.00,2245,4520,5104,4069,15938
29-Oct,Sunday,64.9,61.0,3.03,183,661,1026,965,2835
30-Oct,Monday,55.0,46.0,0.25,1428,2966,3547,2924,10865
31-Oct,Tuesday,54.0,44.0,0.00,2727,5597,5894,4883,19101